Covid,Confirmed,Hospital,Dead,Oxygen,IFA,Recovered
07/24/2020,1229,200,51,3,3127,540
08/04/2020,1629,294,55,18,3734,597
08/05/2020,1673,303,58,19,4031,607
08/06/2020,1730,321,60,17,4031,631
08/07/2020,1754,326,61,19,4294,637
08/09/2020,1854,342,62,16,4294,655
08/10/2020,1854,349,62,19,4294,655
08/11/2020,1938,352,63,16,4646,657
08/12/2020,1970,345,64,16,4646,657
08/13/2020,2013,347,64,16,5051,657
08/17/2020,2199,369,64,17,5480,791
08/18/2020,2271,350,68,16,5480,823
08/19/2020,2335,335,68,18,5772,843
08/25/2020,2687,367,74,19,5995,868
08/26/2020,2740,358,74,17,6181,906
08/27/2020,2777,337,75,17,6432,926
08/28/2020,2800,320,76,69,6432,932
08/31/2020,2976,324,77,63,6432,955
09/01/2020,3026,329,78,69,6432,980
09/03/2020,3168,322,79,72,7393,1015
09/04/2020,3188,317,81,70,7393,1029
09/05/2020,3256,294,82,70,7657,1045
09/06/2020,3326,298,82,70,7657,1045
09/07/2020,3384,305,84,70,7803,1053
09/08/2020,3455,297,84,74,8034,1053
